date,event,category,significance,description,source_url
2024-12-20,OpenAI o3 released,model_release,High,"o3 with configurable analysis depth achieves 72% on SWE-bench Verified major leap in reasoning",https://en.wikipedia.org/wiki/GPT-4
2024-12-26,DeepSeek-V3 released,model_release,High,"DeepSeek open-sources 671B MoE model trained for only $6M competitive with GPT-4",https://en.wikipedia.org/wiki/DeepSeek
2024,AI safety incidents surge 56.4%,safety,High,"Documented AI safety incidents increase from 149 in 2023 to 233 in 2024 per Stanford AI Index",https://hai.stanford.edu/ai-index/2025-ai-index-report/responsible-ai
2024,134000+ tech workers laid off,industry,High,"Technology sector saw 133988 job cuts in 2024 per Challenger Gray and Christmas with companies increasingly citing AI automation",https://www.challengergray.com/blog/2025-year-end-challenger-report-highest-q4-layoffs-since-2008-lowest-ytd-hiring-since-2010/
2025-01-20,Trump revokes Biden AI Executive Order,policy,High,"President Trump revokes EO 14110 and issues 'Removing Barriers to American Leadership in AI' shifting from oversight to deregulation",https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/
2025-01-20,DeepSeek-R1 released,model_release,High,"Open-source reasoning model rivaling o1 at fraction of cost; triggers NVIDIA 18% stock drop; becomes #1 iOS app",https://en.wikipedia.org/wiki/DeepSeek_(chatbot)
2025-01-21,Stargate Project announced,funding,High,"$500B AI infrastructure investment announced by Trump with SoftBank OpenAI Oracle and MGX as partners",https://openai.com/index/announcing-the-stargate-project/
2025-01-22,Google invests additional $1B in Anthropic,funding,Medium,"Google agrees to new $1 billion investment in Anthropic bringing total to ~$3B",https://www.cnbc.com/2025/01/22/google-agrees-to-new-1-billion-investment-in-anthropic.html
2025-02-02,EU AI Act prohibited practices enforced,policy,High,"AI systems deemed unacceptable risk now strictly prohibited including manipulative AI and predictive policing",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
2025-02-24,Claude 3.7 Sonnet released,model_release,High,"Extended thinking / hybrid reasoning introduced; ~50min METR time horizon; significant quality jump on complex tasks",https://en.wikipedia.org/wiki/Claude_(language_model)
2025-03,Anthropic $3.5B round at $61.5B valuation,funding,High,"Anthropic closes $3.5B funding led by Lightspeed Venture Partners",https://www.cnbc.com/2025/03/03/amazon-backed-ai-firm-anthropic-valued-at-61point5-billion-after-latest-round.html
2025-03,OpenAI $40B round at $300B valuation,funding,High,"Historic $40B round led by SoftBank pushes OpenAI valuation to $300B",https://www.startuphub.ai/ai-news/funding-round/2025/openai-secures-40-billion-funding-round-valued-at-300b/
2025-03-19,METR publishes time horizon research,research,High,"METR reveals AI task completion time horizons doubling every ~7 months possibly accelerating to 4 months",https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/
2025-03,Gemini 2.5 Pro released,model_release,Medium,"Google's most intelligent model; strong reasoning capabilities",https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-updates-io-2025/
2025-05-02,EU GPAI Code of Practice released,policy,Medium,"European Commission AI Office releases code of practice for General-Purpose AI models including LLMs",https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers
2025-05-22,Claude Opus 4 and Sonnet 4 released,model_release,High,"Anthropic releases Claude 4 generation with extended thinking and tool use during reasoning",https://www.anthropic.com/news/claude-4
2025-05-28,Amodei warns of 50% job displacement,industry,High,"Anthropic CEO warns AI could eliminate 50% of entry-level white-collar jobs within 1-5 years and spike unemployment to 10-20%",https://fortune.com/2025/05/28/anthropic-ceo-warning-ai-job-loss/
2025-06,Gemini 2.5 Flash released,model_release,Medium,"Efficient reasoning model available to everyone in Gemini app",https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-updates-io-2025/
2025-08-02,EU GPAI governance obligations begin,policy,Medium,"General-Purpose AI model providers must comply with governance obligations",https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers
2025-08-07,GPT-5 released,model_release,High,"Unified reasoning model with auto-routing; 94.6% AIME; 74.9% SWE-bench; 80% fewer hallucinations",https://openai.com/index/introducing-gpt-5/
2025-08,Claude Opus 4.1 released,model_release,Medium,"Improved agentic capabilities; ~2.5hr METR time horizon estimated",https://claudefa.st/blog/models
2025-09,Claude Sonnet 4.5 released,model_release,Medium,"Enhanced coding and planning; 18% planning improvement for Devin platform",https://www.anthropic.com/news/claude-sonnet-4-5
2025-09,Anthropic $13B Series F at $183B valuation,funding,High,"Anthropic closes $13B Series F reaching $183B valuation; run-rate revenue exceeds $5B",https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation
2025-10,Claude Haiku 4.5 released,model_release,Medium,"Fast efficient model in the Claude 4 generation",https://claudefa.st/blog/models
2025-11,55000 AI-cited job cuts in 2025,industry,High,"Nearly 55000 job cuts directly attributed to AI in 2025 out of 1.17M total layoffs (highest since 2020 pandemic)",https://www.cnbc.com/2025/11/04/white-collar-layoffs-ai-cost-cutting-tariffs.html
2025-11,GPT-5.1 Codex-Max released,model_release,Medium,"Specialized coding model for large codebase understanding",https://openai.com/index/introducing-gpt-5-2/
2025-11-18,Gemini 3 released,model_release,High,"Next-gen Google model achieving 1501 Elo on LMArena with 1M token context",https://vertu.com/lifestyle/the-ai-model-race-reaches-singularity-speed/
2025-11-18,Anthropic $15B deal with Microsoft and NVIDIA at $350B valuation,funding,High,"Microsoft invests up to $5B and NVIDIA up to $10B pushing Anthropic valuation to ~$350B",https://www.cnbc.com/2025/11/18/anthropic-ai-azure-microsoft-nvidia.html
2025-11-24,Claude Opus 4.5 released,model_release,High,"SOTA coding and computer use at 67% lower price; 79.2% SWE-bench; 4hr 49min METR time horizon",https://www.anthropic.com/news/claude-opus-4-6
2025-12-11,GPT-5.2 released,model_release,High,"Three variants (Instant/Thinking/Pro) with 400K context; 75.4% SWE-bench Verified",https://openai.com/index/introducing-gpt-5-2/
2025-12,METR confirms Claude Opus 4.5 at 4hr 49min time horizon,benchmark,High,"Highest published autonomous time horizon; 95% CI from 1hr49min to 20hr25min",https://www.lesswrong.com/posts/q5ejXr4CRuPxkgzJD/claude-opus-4-5-achieves-50-time-horizon-of-around-4-hrs-49
2026-01-22,Nvidia $65B quarterly forecast,industry,High,"Nvidia forecasts $65B revenue reflecting insatiable AI chip demand; $500B in Blackwell/Rubin revenue visibility",https://www.fool.com/investing/2026/01/03/nvidias-65-billion-forecast-sends-a-clear-message/
2026-01-27,Amodei publishes 'The Adolescence of Technology',research,High,"20000-word essay warning AI will test who we are as a species; predicts country of geniuses in a datacenter; outlines five existential risk categories",https://www.darioamodei.com/essay/the-adolescence-of-technology
2026-01-27,Davos 2026 Amodei vs Hassabis AGI debate,industry,High,"At WEF Amodei predicts software engineers replaced in 6-12 months; Hassabis maintains 50% AGI chance by 2030; CEOs push back",https://www.businessworld.in/article/wef-davos-2026-google-deepmind-anthropic-ceos-debate-agi-timelines-and-jobs-590016
2026-01-29,METR Time Horizon 1.1 update,benchmark,Medium,"Updated methodology and new model evaluations published",https://metr.org/blog/2026-1-29-time-horizon-1-1/
2026-02-04,Software stocks begin crash,industry,High,"Global software stocks extend losses amid fears AI will disrupt SaaS business models",https://www.cnbc.com/2026/02/04/software-stocks-plunge-us-ai-disruption.html
2026-02-05,Claude Opus 4.6 released,model_release,High,"Agent teams feature; 1M token context beta; office integrations; outperforms GPT-5.2 by 144 Elo on GDPval-AA",https://www.anthropic.com/news/claude-opus-4-6
2026-02-05,GPT-5.3-Codex released,model_release,High,"First self-improving model: instrumental in creating itself; new highs on SWE-Bench Pro and Terminal-Bench; first High cybersecurity rating",https://openai.com/index/introducing-gpt-5-3-codex/
2026-02-06,Trillion-dollar market selloff,industry,High,"Claude Opus 4.6 and GPT-5.3-Codex releases trigger massive selloff in software and tech stocks",https://fortune.com/2026/02/06/anthropic-claude-opus-4-6-stock-selloff-new-upgrade/
2026-02-09,Matt Shumer publishes 'Something Big Is Happening',research,High,"~5000-word essay viewed 20M+ times comparing AI disruption to Covid; argues nothing done on a computer is safe",https://shumer.dev/something-big-is-happening
2026-02-10,OpenAI disputes California AI law violation,policy,Medium,"Watchdog alleges OpenAI violated California's new AI law with GPT-5.3-Codex release; OpenAI disputes",https://fortune.com/2026/02/10/openai-violated-californias-ai-safety-law-gpt-5-3-codex-ai-model-watchdog-claims/
2026-02-12,Employee AI job concern at 40%,industry,Medium,"Worker concerns about AI job loss rise from 28% in 2024 to 40% in 2026 per Mercer Global Talent Trends",https://hbr.org/2026/01/companies-are-laying-off-workers-because-of-ais-potential-not-its-performance
